rank,symbol,name,exch_name,sector,industry,country,mcap_eur_m,price,currency,overall,fund_score,ai_score,pillar_quality,pillar_growth,pillar_balance,pillar_valuation,pe_ttm,pe_fwd,ev_ebitda,ev_rev,pb,ps,earnings_yield,fwd_earnings_yield,fcf_yield,div_yield,payout,analyst_upside,n_analysts,rec_key,roe,roa,gm,om,nm,rev_growth,eps_growth,nd_ebitda,net_cash_eur_m,debt_equity,current_ratio,rev_eur_m,employees,rev_emp_keur,insider_pct,beta,w52_change,adv_eur_k,coverage,ai_base,ai_note,dup_class
118,ADP,"Automatic Data Processing, Inc.",USA,Technology,Software - Application,United States,89150.74958,255.265,USD,68.2,59.9,83.7,77.3,48.5,50.3,52.1,23.81203,20.92957,16.279,4.778,16.10403,4.7239,0.042,0.04778,0.04655,0.0266,0.6045,-0.00966,15.0,hold,0.71208,0.05949,0.48497,0.30184,0.20118,0.07,0.105,0.18448,-1021.87955,0.69259,1.043,18872.26947,67000,281.67566,0.00144,0.841,-0.15165,635873.81972,1.0,92,Software economics — AI compounds both the product and dev productivity,False
119,VIT-B.ST,Vitec Software Group AB (publ),Stockholm,Technology,Software - Application,Sweden,800.71232,223.2,SEK,68.2,58.5,86.1,62.4,61.1,31.1,65.9,19.07692,17.32919,10.748,3.163,1.75302,2.30848,0.05242,0.05771,0.06183,0.0165,0.3094,0.88044,7.0,strong_buy,0.09445,0.0442,0.48093,0.23591,0.12127,0.169,0.13,2.849,-290.77948,0.74709,0.768,346.8565,1870,185.48476,0.09705,0.841,-0.42533,2699.12661,1.0,92,Software economics — AI compounds both the product and dev productivity,False
120,GREEN.ST,Green Landscaping Group AB (publ),Stockholm,Industrials,Specialty Business Services,Sweden,127.16689,24.85,SEK,68.2,62.1,79.5,49.7,71.5,34.6,84.2,10.44118,4.77885,6.258,0.554,0.80726,0.21939,0.09577,0.20926,0.13427,,0.0,0.40845,2.0,strong_buy,0.07598,0.03574,0.56888,0.00216,0.01986,0.136,,3.58834,-184.08762,1.50601,1.625,579.63577,3000,193.21192,0.47797,0.469,-0.58235,292.19633,0.92,82,Business services — back-office process automation,False
121,HULT-B.ST,Hultstrom Group AB (publ),Stockholm,Industrials,Engineering & Construction,Sweden,21.23033,3.85,SEK,68.2,67.5,69.5,72.9,31.9,80.9,78.2,16.04167,,7.803,0.712,2.5,0.7422,0.06234,,0.12932,0.0286,0.0,,,none,0.16118,0.11328,0.69194,0.08161,0.04591,0.006,-0.021,-0.33347,0.87013,0.11313,2.234,28.60473,177,161.60866,0.29004,0.235,0.11272,24.98622,1.0,66,"Engineering — design, tendering and site planning automate",False
122,ACGL,Arch Capital Group Ltd.,USA,Financial Services,Insurance - Diversified,Bermuda,30938.27427,101.35,USD,68.1,68.8,66.9,67.0,54.0,58.6,86.0,7.79615,10.30934,5.97,1.78,1.52511,1.7905,0.12827,0.097,0.149,,0.0,0.0882,19.0,buy,0.21306,0.04568,0.39369,0.25282,0.24635,-0.033,0.946,-0.15126,779.34042,0.11282,0.566,17279.1649,8000,2159.89561,0.0262,0.292,0.15762,201504.47636,1.0,82,"Insurance — claims, underwriting and pricing are data workflows",False
123,RMD,ResMed Inc.,USA,Healthcare,Medical Instruments & Supplies,United States,25219.15032,198.99,USD,68.1,71.1,62.4,84.2,53.8,86.5,59.5,19.18901,16.58388,13.233,5.065,4.44581,5.21233,0.05211,0.0603,0.05012,0.0121,0.2247,0.25333,15.0,buy,0.25246,0.14715,0.62181,0.35327,0.2744,0.108,0.105,-0.38563,714.11347,0.12988,3.008,4838.36633,10600,456.44965,0.00501,0.775,-0.23779,270056.26374,1.0,66,Instruments — software layer increasingly the differentiator,False
124,SPGI,S&P Global Inc.,USA,Financial Services,Financial Data & Stock Exchanges,United States,116594.07881,450.84,USD,68.1,60.4,82.4,78.5,63.2,44.3,45.6,28.4981,22.22232,19.125,9.572,4.28091,8.4837,0.03509,0.045,0.03971,0.0086,0.2435,0.14798,18.0,strong_buy,0.1394,0.06919,0.7047,0.44282,0.30362,0.104,0.325,1.53563,-10563.03353,0.38392,0.677,13743.30129,44500,308.83823,0.00276,1.079,-0.0873,895648.9386,1.0,88,Financial data — the product is information processing,False
125,OGUN-B.ST,Ogunsen AB (publ),Stockholm,Industrials,Staffing & Employment Services,Sweden,24.47553,25.1,SEK,68.1,62.2,79.0,55.6,51.8,73.3,71.3,16.84564,7.40413,11.284,0.564,3.91943,0.61243,0.05936,0.13506,0.10745,0.0598,1.2752,,,none,0.22554,0.08353,0.13419,0.05314,0.03637,-0.018,0.621,-0.97123,1.93967,0.30624,1.671,39.96468,416,96.06895,0.22045,0.354,0.02449,21.70612,1.0,85,Staffing — matching and admin are directly AI-automatable,False
126,TRAN-B.ST,Transferator AB (publ),Stockholm,Financial Services,Asset Management,Sweden,12.68779,1.455,SEK,68.1,68.9,66.7,48.0,93.4,31.8,95.5,7.65789,,,,2.08752,2.20791,0.13058,,,,0.0,,,none,0.3254,0.02422,0.10569,0.06493,0.29596,0.605,,,,,1.026,5.74651,12,478.87554,,0.702,-0.18028,1.27198,0.58,80,Asset management — research and back-office automation,False
127,MA,Mastercard Incorporated,USA,Financial Services,Credit Services,United States,419652.24296,543.6,USD,68.0,64.4,74.8,97.6,64.5,35.2,40.2,31.44014,23.85014,22.971,14.469,71.7529,14.15234,0.03181,0.04193,0.03362,0.0064,0.1823,0.1844,38.0,strong_buy,2.32076,0.25032,1.0,0.60836,0.45876,0.158,0.212,0.50246,-9384.41125,2.82059,0.981,29652.50455,39800,745.0378,0.00114,0.729,-0.01992,1798999.85858,1.0,82,Credit — underwriting and collections are data decisions at scale,False
128,BETCO.ST,Better Collective A/S,Stockholm,Technology,Software - Application,Denmark,622.84358,119.8,SEK,68.0,59.3,84.3,52.2,65.2,50.9,67.8,23.96,126.10527,6.83299,2.02623,1.03602,1.82973,0.04174,0.00793,0.06114,,0.0,0.41514,5.0,none,0.04157,0.03624,0.40361,0.17132,0.08012,0.045,1.0,2.97247,-300.053,0.50071,1.745,340.40198,1582,215.17192,0.50112,0.511,-0.14733,881.31173,1.0,92,Software economics — AI compounds both the product and dev productivity,False
129,BOTX.ST,Botnia Gold AB (publ),Stockholm,Basic Materials,Gold,Sweden,42.90287,11.6,SEK,68.0,81.3,43.2,86.1,99.2,81.1,64.0,5.77114,,3.248,1.308,2.02091,1.34256,0.17328,,-0.06243,,0.0,,,none,0.42685,0.24118,0.62161,0.25628,0.23371,9.394,,-0.0851,1.09546,0.02579,1.985,31.95601,55,581.01844,0.34867,0.404,0.0087,36.44297,0.92,42,Mining — commodity price dominates,False
130,QPR1V.HE,QPR Software Oyj,Helsinki,Technology,Software - Application,Finland,10.89146,0.554,EUR,68.0,59.4,84.1,53.3,85.6,40.6,58.6,,-55.4,-49.014,1.842,9.23333,1.80113,-0.09025,-0.01805,,,0.0,-0.00722,1.0,none,,,0.34778,0.17103,-0.07673,0.282,,,-0.247,0.73559,,6.047,31,195.06452,0.42103,0.955,-0.30923,4.95276,0.5,92,Software economics — AI compounds both the product and dev productivity,False
131,CME,CME Group Inc.,USA,Financial Services,Financial Data & Stock Exchanges,United States,77359.27212,245.05,USD,67.9,62.9,77.2,75.2,63.5,62.7,48.1,20.92656,19.07301,18.784,13.349,3.33071,13.1298,0.04779,0.05243,0.03422,0.0212,0.9556,0.14861,15.0,buy,0.15919,0.0155,1.0,0.69806,0.63324,0.144,0.213,0.25598,-1071.8553,0.14059,1.018,5891.8836,3875,1520.48609,0.00422,0.276,-0.10891,708073.00879,1.0,88,Financial data — the product is information processing,False
132,SLEEP.ST,Sleep Cycle AB (publ),Stockholm,Technology,Software - Application,Sweden,45.48892,24.75,SEK,67.9,61.0,80.6,78.7,7.7,76.7,68.0,11.19909,12.5,7.02,1.669,6.48925,2.13078,0.08929,0.08,0.02343,0.0214,0.8371,0.23232,2.0,none,0.52668,0.14898,0.57268,0.11605,0.19072,-0.19,-0.603,-1.94021,9.84964,0.08531,1.365,21.34845,40,533.7113,0.66411,0.072,-0.18985,165.11007,1.0,92,Software economics — AI compounds both the product and dev productivity,False
133,FSECURE.HE,F-Secure Oyj,Helsinki,Technology,Software - Infrastructure,Finland,327.06323,1.872,EUR,67.9,57.2,87.9,84.4,19.9,17.0,70.5,17.01818,11.17612,11.463,3.512,6.11765,2.25595,0.05876,0.08948,0.10359,0.019,0.3333,0.10844,4.0,buy,0.38163,0.07873,0.8417,0.20687,0.13697,-0.021,-0.333,3.20309,-142.278,2.91837,0.691,144.978,580,249.96207,0.35584,0.797,0.12365,348.36422,1.0,92,Software economics — AI compounds both the product and dev productivity,False
134,EQT,EQT Corporation,USA,Energy,Oil & Gas E&P,United States,27083.55785,49.56,USD,67.8,79.9,45.2,81.8,93.5,52.7,82.2,9.40418,11.85637,5.261,4.307,1.23409,3.31037,0.10634,0.08434,0.08075,0.0133,0.1224,0.35916,25.0,buy,0.13402,0.07727,0.80966,0.57368,0.35074,0.499,4.9,0.73912,-4950.24729,0.20816,0.658,8181.43775,1523,5371.92236,0.00777,0.55,-0.07434,319122.62687,1.0,48,Oil & gas — commodity price dominates; ops optimisation real but capped,False
135,NDAQ,"Nasdaq, Inc.",USA,Financial Services,Financial Data & Stock Exchanges,United States,45280.51697,91.64,USD,67.8,60.7,81.0,82.8,67.8,34.7,43.3,27.60241,20.20238,18.911,11.223,4.30093,9.56379,0.03623,0.0495,0.03009,0.0122,0.3253,0.16252,15.0,buy,0.162,0.05555,1.0,0.48401,0.35283,0.137,0.338,2.79415,-7851.06815,0.79058,0.996,4734.58027,9613,492.51849,0.10882,0.997,0.02689,319743.3734,1.0,88,Financial data — the product is information processing,False
136,QCOM,QUALCOMM Incorporated,USA,Technology,Semiconductors,United States,158188.72842,171.78,USD,67.8,67.4,68.4,80.8,56.7,66.8,59.3,18.49085,15.54278,14.349,4.193,6.669,4.06996,0.05408,0.06434,0.05296,0.0214,0.3828,0.29662,30.0,hold,0.36083,0.12692,0.54799,0.22059,0.22308,-0.035,1.73,0.42088,-4780.01245,0.55979,2.366,38867.41989,52000,747.45038,0.00119,1.638,0.08058,3531867.76605,1.0,78,Semis — rides the AI capex cycle and design automation,False
137,SILEX.ST,Silex Microsystems AB (publ),Stockholm,Technology,Semiconductor Equipment & Materials,Sweden,2253.00211,212.5,SEK,67.8,62.8,77.0,89.2,68.9,75.7,21.5,60.1983,,40.49,14.538,13.57567,17.43121,0.01661,,,,0.0,-0.28627,3.0,underperform,,,0.86185,0.35372,0.21809,0.122,,0.0293,-1.35958,0.2287,2.204,129.25108,484,267.04768,0.29507,,-0.05786,11025.49858,0.67,78,Semis — rides the AI capex cycle and design automation,False
138,LEA.ST,Lea Bank AB (publ),Stockholm,Financial Services,Banks - Regional,Sweden,110.43429,12.62,SEK,67.8,68.4,66.7,44.8,75.3,,91.3,10.60504,,,2.648,0.91549,3.20865,0.09429,,,0.0571,1.5126,0.08086,1.0,none,0.08667,0.01237,0.0,0.40463,0.30767,0.187,0.5,,19.28388,,,34.41768,60,573.62795,0.57227,,0.04298,45.03732,0.58,82,"Banking — document-heavy processes, fraud/KYC, service automation",False
139,NXPI,NXP Semiconductors N.V.,USA,Technology,Semiconductors,Netherlands,58792.24934,266.53,USD,67.7,65.0,72.7,78.5,77.7,51.0,47.8,25.50526,14.93649,18.182,5.997,6.16197,5.33421,0.03921,0.06695,0.04053,0.0152,0.3878,0.16555,29.0,buy,0.25813,0.08144,0.55632,0.27664,0.21031,0.122,1.307,1.92646,-7003.57963,1.03991,2.241,11021.72588,32169,342.61947,0.00139,1.805,0.16761,976503.27195,1.0,78,Semis — rides the AI capex cycle and design automation,False
140,NOBA.ST,NOBA Bank Group AB,Stockholm,Financial Services,Banks - Diversified,Sweden,3725.25866,82.2,SEK,67.7,69.3,64.8,53.3,66.6,,89.8,11.44847,,,8.815,1.48493,5.26114,0.08735,,,0.0195,0.0,0.38929,10.0,buy,0.14889,0.02302,0.0,0.65582,0.48566,0.185,0.221,,-2516.58917,,,708.07109,735,963.36202,0.0126,,-0.0966,2871.1092,0.58,82,"Banking — document-heavy processes, fraud/KYC, service automation",False
141,GPN,Global Payments Inc.,USA,Industrials,Specialty Business Services,United States,18598.58849,77.82,USD,67.6,62.1,77.8,54.0,93.7,23.8,69.6,28.61029,4.82072,10.177,4.505,0.89423,2.4039,0.03495,0.20744,0.33468,0.0129,0.3676,0.19221,27.0,buy,0.02935,0.02367,0.67403,0.12515,-0.07967,0.631,,4.52166,-15487.15084,0.95593,0.792,7736.82492,26000,297.57019,0.00907,0.769,-0.04104,251210.64863,0.92,82,Business services — back-office process automation,False
142,WTW,Willis Towers Watson Public Limited Company,USA,Financial Services,Insurance Brokers,United Kingdom,24213.60877,293.43,USD,67.6,62.1,77.9,67.0,60.8,42.3,67.2,17.2403,13.23712,11.88,3.319,3.46795,2.80023,0.058,0.07555,0.07405,0.0131,0.2184,0.15763,19.0,buy,0.20611,0.05089,0.42407,0.20522,0.16843,0.085,0.33,1.82676,-4413.05866,0.85693,1.187,8647.0091,47000,183.97892,0.00263,0.441,-0.03069,193202.33106,1.0,82,"Insurance — claims, underwriting and pricing are data workflows",False
143,TOUCH.ST,Touchtech AB,Stockholm,Technology,Software - Application,Sweden,5.22476,5.2,SEK,67.6,58.8,83.9,39.7,66.4,92.1,59.4,,,-699.411,2.043,1.05072,2.50516,-0.01154,,0.02994,,0.0,,,none,-0.01217,-0.00802,0.77798,-0.05021,-0.02905,0.114,,,0.96476,,5.874,2.0856,5,417.1203,0.54172,0.305,-0.10035,4.91495,0.75,92,Software economics — AI compounds both the product and dev productivity,False
144,TEL,TE Connectivity plc,USA,Technology,Electronic Components,Ireland,51850.02006,203.31,USD,67.5,68.0,66.5,70.1,86.4,63.9,55.3,20.74592,16.10542,13.579,3.436,4.48808,3.17423,0.0482,0.06209,0.03913,0.0147,0.2901,0.26605,20.0,buy,0.2272,0.0955,0.36072,0.20341,0.15543,0.145,71.5,1.00423,-4150.94899,0.43798,1.888,16334.69523,90000,181.49661,0.00159,1.169,0.13258,487109.44448,1.0,68,Components — factory automation and quality inspection,False
145,SAFETY-B.ST,mySafety Group AB,Stockholm,Technology,Information Technology Services,Sweden,38.51043,18.9,SEK,67.5,61.0,79.5,51.0,56.7,54.0,79.0,15.24193,,7.711,1.256,2.9522,1.2416,0.06561,,0.12478,0.0714,0.8065,,,none,0.22291,0.0158,0.44449,0.02907,0.07598,-0.084,6.133,0.08866,-0.44794,0.51366,1.008,31.01681,80,387.71016,0.43496,1.066,0.11307,53.17557,1.0,90,IT services — delivery is labor-hours that AI directly automates,False
146,TINGS-PREF.ST,Tingsvalvet Fastighets AB ser. ,Stockholm,Real Estate,Real Estate Services,Sweden,,363.5,SEK,67.5,79.6,45.0,88.5,84.9,52.0,,,,,220.727,5.44129,,,,,0.066,,,,none,,,0.71239,0.68541,2.14964,0.325,0.885,,-172.73554,1.74813,3.018,3.38832,9,376.47956,0.14718,,-0.01088,115.8425,0.5,40,Real estate — asset returns dominate; admin automation marginal,False
147,CINF,Cincinnati Financial Corporation,USA,Financial Services,Insurance - Property & Casualty,United States,24433.73309,180.79,USD,67.4,68.4,65.5,58.6,67.0,67.4,81.4,10.34268,19.6148,7.563,2.134,1.77868,2.1632,0.09669,0.05098,0.09827,0.0208,0.203,0.04633,6.0,buy,0.18735,0.05553,0.27939,0.11841,0.21326,0.116,,-0.1028,327.63757,0.05626,1.044,11295.19393,5705,1979.87624,0.01714,0.553,0.21336,126015.10902,0.92,82,"Insurance — claims, underwriting and pricing are data workflows",False
148,INCY,Incyte Corporation,USA,Healthcare,Biotechnology,United States,20465.95021,117.25,USD,67.4,75.4,52.6,81.0,80.7,95.0,55.4,16.56073,13.43926,12.556,3.628,4.16948,4.3694,0.06038,0.07441,0.02386,,0.0,-0.02927,22.0,buy,0.30823,0.13888,0.52766,0.25552,0.26707,0.209,0.838,-2.56718,3474.17632,0.00701,3.682,4683.92323,2844,1646.94909,0.01844,0.758,0.74013,177553.35847,1.0,60,"Biotech — discovery upside, binary science risk dominates",False
149,TTD,"The Trade Desk, Inc.",USA,Communication Services,Advertising Agencies,United States,7635.53946,18.59,USD,67.4,64.7,72.5,71.8,42.8,77.9,64.5,21.125,8.6563,10.929,2.613,3.56882,2.9434,0.04734,0.11552,0.06512,,0.0,0.30823,30.0,hold,0.16735,0.06573,0.77832,0.09675,0.14571,0.118,-0.2,-1.38407,858.27048,0.17264,1.682,2594.12022,3843,675.02478,0.02304,1.04,-0.76771,312071.03894,1.0,80,"Advertising — targeting, creative and buying are AI-disrupted/enabled",False
150,NITRO.ST,Nitro Games Oyj,Stockholm,Communication Services,Electronic Gaming & Multimedia,Finland,5.6252,2.49,SEK,67.4,58.4,84.0,57.2,33.4,59.6,75.8,22.63636,-2.18421,6.58338,0.75711,2.05174,0.7471,0.04418,-0.45783,0.18182,,0.0,0.27608,1.0,none,0.05991,0.03021,0.81014,0.0684,0.02078,-0.384,0.325,0.96109,-0.83223,1.19784,3.764,7.52943,40,188.23575,0.47691,0.903,0.69619,10.3407,1.0,85,Gaming — content pipelines and live-ops are AI-automatable,False
151,SCHW,The Charles Schwab Corporation,USA,Financial Services,Capital Markets,United States,154318.66305,101.56,USD,67.3,63.9,73.6,75.7,70.8,17.8,68.5,20.19085,13.499,,5.901,4.15633,7.12089,0.04953,0.07408,,0.0126,0.2247,0.18882,19.0,buy,0.19083,0.01971,0.9746,0.49352,0.37986,0.158,0.386,,32341.75199,1.20766,0.632,21671.25521,33500,646.90314,0.06169,0.762,0.05517,981079.06158,0.75,80,"Capital markets — research, ops and compliance are text-heavy",False
152,EA,Electronic Arts Inc.,USA,Communication Services,Electronic Gaming & Multimedia,United States,45766.13963,208.9,USD,67.3,61.4,78.2,75.3,74.6,63.9,35.3,59.51567,21.69528,34.516,6.806,7.74306,6.95552,0.0168,0.04609,0.04236,0.0036,0.2165,-0.01491,14.0,hold,0.1349,0.05696,0.78967,0.24009,0.11778,0.119,0.853,-0.75825,983.78623,0.2741,1.046,6579.83472,14600,450.67361,0.00226,0.641,0.36189,363005.94371,1.0,85,Gaming — content pipelines and live-ops are AI-automatable,False
153,VRSN,"VeriSign, Inc.",USA,Technology,Software - Infrastructure,United States,22075.83161,277.66,USD,67.3,60.7,79.6,96.1,48.4,35.2,40.4,30.68066,26.51006,22.613,15.747,,15.01132,0.03259,0.03772,0.03195,0.0117,0.3448,0.128,5.0,buy,,0.52069,0.8835,0.68454,0.49958,0.066,0.114,1.05639,-1081.81532,,0.462,1470.61188,926,1588.13378,0.10537,0.707,-0.02291,200103.57996,0.83,92,Software economics — AI compounds both the product and dev productivity,False
154,HOME-B.ST,HomeMaid AB (publ),Stockholm,Consumer Cyclical,Personal Services,Sweden,53.25559,31.0,SEK,67.3,66.6,68.7,81.4,62.1,32.2,69.4,17.61364,,11.634,1.017,8.4607,0.9177,0.05677,,0.0993,0.0516,0.7102,0.22581,1.0,none,0.51507,0.10431,0.97678,0.06892,0.05227,0.333,0.059,1.13349,-5.7485,1.32281,0.717,58.03138,1052,55.16291,0.71186,0.704,-0.2132,11.88829,1.0,60,Consumer Cyclical sector default,False
155,LEMON.HE,Lemonsoft Oyj,Helsinki,Technology,Software - Application,Finland,85.41297,4.8,EUR,67.2,56.9,86.3,65.8,38.0,46.0,64.5,19.2,11.70732,13.744,3.172,2.84529,2.90797,0.05208,0.08542,0.09188,0.0292,0.56,0.19792,2.0,strong_buy,0.14144,0.07003,0.40059,0.20352,0.1575,-0.011,0.14,1.09811,-7.443,0.45027,0.772,29.372,208,141.21154,0.27934,0.449,-0.33148,29.0496,1.0,92,Software economics — AI compounds both the product and dev productivity,False
156,FLOWS.ST,Flowscape Technology AB (publ),Stockholm,Technology,Software - Application,Sweden,6.28604,3.54,SEK,67.2,57.5,85.3,60.3,75.6,61.9,40.0,20.82353,27.23077,16.112,1.16,3.46719,1.34501,0.04802,0.03672,-0.05023,,0.0,,,none,0.18561,0.04468,0.42317,0.0982,0.06602,0.071,7.875,-2.56585,0.86352,,0.969,4.67361,25,186.94455,0.4737,0.119,0.10625,4.09002,0.92,92,Software economics — AI compounds both the product and dev productivity,False
157,TRV,"The Travelers Companies, Inc.",USA,Financial Services,Insurance - Property & Casualty,United States,68551.93747,368.98,USD,67.1,67.1,67.2,66.4,54.1,50.3,85.0,9.92149,12.69262,7.053,1.653,2.32387,1.60194,0.10079,0.07879,0.18831,0.0136,0.1223,-0.08803,24.0,hold,0.26511,0.04775,0.34731,0.23698,0.16952,0.003,0.571,0.34904,-3500.91606,0.27378,0.323,42792.95472,34000,1258.61632,0.00267,0.473,0.40169,561380.38067,1.0,82,"Insurance — claims, underwriting and pricing are data workflows",False
158,SYNSAM.ST,Synsam AB (publ),Stockholm,Healthcare,Medical Instruments & Supplies,Sweden,706.76872,55.0,SEK,67.1,64.9,71.1,73.0,58.9,32.9,75.3,15.89595,13.75,8.588,1.501,2.99613,1.09364,0.06291,0.07273,0.09001,0.0327,0.5202,0.40606,3.0,strong_buy,0.19602,0.06573,0.74642,0.10491,0.06985,0.038,0.54,2.32183,-262.21834,1.39256,1.112,646.25537,5400,119.67692,0.24393,0.326,-0.01786,1218.40802,1.0,66,Instruments — software layer increasingly the differentiator,False
159,OVZON.ST,Ovzon AB (publ),Stockholm,Communication Services,Telecom Services,Sweden,393.03804,38.88,SEK,67.1,70.9,59.9,69.5,97.6,55.8,62.4,18.96586,777.60004,11.896,5.074,2.34528,4.75472,0.05273,0.00129,0.05284,,0.0,0.76183,2.0,strong_buy,0.12172,0.05762,0.52741,0.30534,0.23136,1.879,,0.491,-17.31203,0.15143,0.676,82.66268,44,1878.69726,0.11695,1.661,-0.14172,2058.68458,0.92,70,"Telecom — network ops and service automation, capital-heavy core",False
160,BONEX.ST,Bonesupport Holding AB (publ),Stockholm,Healthcare,Medical Instruments & Supplies,Sweden,1186.52003,199.9,SEK,67.0,69.7,62.1,88.7,83.4,93.1,26.6,62.08074,45.74371,35.705,9.904,15.18074,10.17586,0.01611,0.02186,0.01167,,0.0,0.80507,6.0,strong_buy,0.24498,0.21296,0.92046,0.25176,0.16628,0.251,,-1.18868,38.44685,0.01067,5.44,116.60142,143,815.39457,0.13292,,-0.3853,4548.48641,0.92,66,Instruments — software layer increasingly the differentiator,False
161,PNC,"The PNC Financial Services Group, Inc.",USA,Financial Services,Banks - Regional,United States,88148.59166,252.86,USD,66.9,65.8,68.9,47.7,70.3,,83.8,13.92401,11.85582,,7.411,1.7604,4.14865,0.07182,0.08435,,0.0316,0.3744,0.09339,20.0,buy,0.12623,0.01307,0.0,0.38689,0.31366,0.236,0.251,,-69177.81781,,,21247.51142,55704,381.43601,0.00301,0.897,0.2899,457952.921,0.58,82,"Banking — document-heavy processes, fraud/KYC, service automation",False
162,LUMI.ST,Lundin Mining Corporation,Stockholm,Basic Materials,Copper,Canada,17581.04944,227.2,SEK,66.8,77.6,46.7,78.9,85.2,77.7,70.9,16.77991,28.83249,10.80778,4.73009,2.94258,4.68794,0.0596,0.03468,0.08814,0.0033,0.0571,0.16762,8.0,buy,0.2218,0.08418,0.52393,0.43476,0.3355,0.26,1.282,-0.02885,47.35454,0.06216,1.805,3750.2701,,,0.20926,2.103,1.32787,10107.5136,1.0,44,Mining — commodity price dominates; autonomy in pits helps,False
163,BSX,Boston Scientific Corporation,USA,Healthcare,Medical Devices,United States,57178.61391,44.03,USD,66.7,67.2,65.8,73.4,75.6,60.5,57.8,18.42259,11.86127,13.684,3.651,2.53017,3.17475,0.05428,0.08431,0.04289,,0.0,0.64498,28.0,strong_buy,0.14661,0.06075,0.68943,0.20603,0.17294,0.116,1.0,1.74109,-8366.55167,0.4225,1.9,18010.45288,59000,305.26191,0.00231,0.577,-0.57574,804680.67733,1.0,66,Devices — embedded intelligence differentiates hardware,False
164,C,Citigroup Inc.,USA,Financial Services,Banks - Diversified,United States,189582.8293,129.36,USD,66.7,64.8,70.1,43.3,74.2,,83.7,13.93966,10.11184,,-4.315,1.12742,2.65553,0.07174,0.09889,,0.0186,0.2586,0.19048,20.0,buy,0.08529,0.00663,0.0,0.36229,0.21832,0.145,0.61,,516855.59172,,,71391.77379,219000,325.98983,0.00252,1.094,0.39622,1403614.66867,0.58,82,"Banking — document-heavy processes, fraud/KYC, service automation",False
165,FSLR,"First Solar, Inc.",USA,Technology,Solar,United States,19902.04581,211.99,USD,66.7,75.5,50.4,73.0,79.8,85.5,70.5,13.69445,9.04371,9.214,3.864,2.30589,4.20351,0.07302,0.11057,0.05038,,0.0,0.19937,28.0,buy,0.18436,0.08447,0.41743,0.33067,0.30731,0.236,0.651,-0.80937,1607.11704,0.05943,2.557,4734.62232,7900,599.31928,0.054,1.73,0.18875,454546.10647,1.0,55,Solar — manufacturing automation and grid software,False
166,IBM,International Business Machines Corporation,USA,Technology,Information Technology Services,United States,174639.88447,212.67,USD,66.7,57.1,84.6,72.6,54.4,19.1,59.8,18.83703,16.24688,15.481,3.744,6.06191,2.90063,0.05309,0.06155,0.06561,0.0318,0.5947,0.28723,22.0,buy,0.35772,0.05391,0.58358,0.13809,0.15606,0.095,0.142,3.48149,-50691.20205,2.11169,0.796,60207.54027,264300,227.8,0.00117,0.675,-0.25303,2020839.90103,1.0,90,IT services — delivery is labor-hours that AI directly automates,False
167,COFFEE-B.ST,Coffee Stain Group AB (publ),Stockholm,Communication Services,Electronic Gaming & Multimedia,Sweden,358.84671,17.738,SEK,66.6,58.9,80.9,47.2,80.0,93.7,41.2,354.76,,7.38,3.517,1.09217,4.11975,0.00282,,-0.03501,,0.0,0.56162,5.0,buy,0.0051,0.01467,1.0052,-0.00385,0.01145,0.204,,-1.30568,54.20206,0.00604,4.622,87.10399,240,362.93327,0.53253,,-0.21164,1893.62097,0.92,85,Gaming — content pipelines and live-ops are AI-automatable,False
168,BEAMMW-B.ST,BeammWave AB (publ),Stockholm,Technology,Semiconductors,Sweden,52.19095,12.6,SEK,66.6,58.0,82.5,32.6,96.3,92.1,45.0,,,-16.502,27.852,4.55202,31.92419,-0.05476,,-0.06178,,0.0,-0.20635,1.0,none,-0.3153,-0.18902,1.0,-1.01849,-1.76303,1.13,,,5.84648,,51.797,1.63484,30,54.49467,0.18922,1.452,-0.08029,238.00554,0.75,78,Semis — rides the AI capex cycle and design automation,False
169,TANGEN-B.ST,TANGEN-B.ST,Stockholm,Industrials,Specialty Business Services,Sweden,,85.8,SEK,66.6,61.0,77.0,55.9,92.5,62.3,45.4,17.80083,,22.414,2.832,3.17825,,0.05618,,,,0.0,,,none,,,0.45838,0.1137,0.09999,0.545,,1.19455,-24.59432,0.49846,2.087,162.91989,680,239.58808,0.32113,,0.144,859.665,0.67,82,Business services — back-office process automation,False
170,AVGO,Broadcom Inc.,USA,Technology,Semiconductors,United States,1541407.59948,370.825,USD,66.5,65.6,68.1,90.1,86.3,59.0,26.5,61.70133,19.09805,42.998,23.978,20.12073,23.37812,0.01621,0.05236,0.01542,0.007,0.4126,0.41443,45.0,strong_buy,0.37281,0.12119,0.76284,0.48988,0.38848,0.479,0.854,1.07592,-39560.26574,0.74018,2.238,65933.77146,33000,1997.99307,0.0194,1.462,0.28667,8489397.15273,1.0,78,Semis — rides the AI capex cycle and design automation,False
171,BRO,"Brown & Brown, Inc.",USA,Financial Services,Insurance Brokers,United States,20537.22131,69.35,USD,66.5,60.3,77.9,71.2,57.0,37.7,61.2,22.58958,14.33571,12.327,4.897,1.84545,3.75616,0.04427,0.06976,0.06477,0.0093,0.2052,0.07246,16.0,hold,0.11926,0.05515,0.53372,0.47181,0.1836,0.357,-0.079,2.86243,-6217.24944,0.6437,1.017,5467.61465,22888,238.88565,0.13111,0.599,-0.32335,191459.50419,1.0,82,"Insurance — claims, underwriting and pricing are data workflows",False
